plant,success,duration_s,error_m,error_x,error_y,experiment_type,imu_enabled,param_n,predetermined_list,is_realtime_target,realtime_trigger_id
1,1,3.935,0.194,-0.100,0.166,1,1,-1,"",0,-1
2,1,2.941,0.191,-0.146,0.124,1,1,-1,"",0,-1
3,1,2.941,0.185,-0.169,0.074,1,1,-1,"",0,-1
4,1,3.241,0.180,-0.085,0.158,1,1,-1,"",0,-1
5,1,2.871,0.190,-0.177,0.070,1,1,-1,"",0,-1
10,1,86.181,0.197,0.126,0.152,1,1,-1,"",0,-1
9,1,2.711,0.185,0.144,0.116,1,1,-1,"",0,-1
8,1,4.481,0.216,0.188,0.107,1,1,-1,"",0,-1
7,1,4.001,0.200,0.082,0.182,1,1,-1,"",0,-1
6,1,3.131,0.203,0.151,0.136,1,1,-1,"",0,-1
11,1,11.911,0.192,-0.156,0.112,1,1,-1,"",0,-1
12,1,3.061,0.196,-0.108,0.163,1,1,-1,"",0,-1
13,1,3.181,0.190,-0.122,0.146,1,1,-1,"",0,-1
14,1,3.601,0.200,-0.104,0.171,1,1,-1,"",0,-1
15,1,3.011,0.194,-0.134,0.139,1,1,-1,"",0,-1
