attempt,plant,success,duration_s,error_m,error_x,error_y,experiment_type,imu_enabled,param_n,predetermined_list,is_realtime_target,realtime_trigger_id
3,1,1,3.995,0.172,-0.127,0.116,4,1,-1,"1,5,10,6,11,15",0,-1
3,5,1,9.371,0.203,-0.183,0.088,4,1,-1,"1,5,10,6,11,15",0,-1
3,10,1,111.951,0.196,-0.141,0.136,4,1,-1,"1,5,10,6,11,15",0,-1
3,6,1,8.801,0.200,0.114,0.164,4,1,-1,"1,5,10,6,11,15",0,-1
3,11,1,85.471,0.166,0.161,-0.038,4,1,-1,"1,5,10,6,11,15",0,-1
3,15,1,12.271,0.209,-0.202,0.052,4,1,-1,"1,5,10,6,11,15",0,-1
2,1,1,2.423,0.215,-0.203,0.071,4,1,-1,"1,5,10,6,11,15",0,-1
2,5,1,13.171,0.195,-0.170,0.096,4,1,-1,"1,5,10,6,11,15",0,-1
2,10,1,90.231,0.200,0.169,0.107,4,1,-1,"1,5,10,6,11,15",0,-1
2,6,1,11.431,0.188,0.160,0.099,4,1,-1,"1,5,10,6,11,15",0,-1
2,11,1,79.271,0.135,-0.028,0.132,4,1,-1,"1,5,10,6,11,15",0,-1
2,15,1,9.561,0.193,-0.129,0.143,4,1,-1,"1,5,10,6,11,15",0,-1
1,1,1,3.435,0.193,-0.179,0.073,4,1,-1,"1,5,10,6,11,15",0,-1
1,5,1,14.841,0.181,-0.163,0.079,4,1,-1,"1,5,10,6,11,15",0,-1
1,10,1,86.641,0.118,0.009,0.117,4,1,-1,"1,5,10,6,11,15",0,-1
1,6,1,11.941,0.199,0.114,0.164,4,1,-1,"1,5,10,6,11,15",0,-1
1,11,1,12.611,0.181,-0.045,0.175,4,1,-1,"1,5,10,6,11,15",0,-1
1,15,1,10.031,0.121,-0.016,0.120,4,1,-1,"1,5,10,6,11,15",0,-1
